Release,Task,Date Start,Date Finish
AcmeProduct 1.0,Planning,2026-01-05,2026-01-30
AcmeProduct 1.0,Development,2026-02-01,2026-04-15
AcmeProduct 1.0,Code Freeze,2026-04-16,2026-04-22
AcmeProduct 1.0,QE,2026-04-23,2026-05-10
AcmeProduct 1.0,GA Release,2026-05-15,2026-05-15
AcmeProduct 1.1,Planning,2026-04-01,2026-04-30
AcmeProduct 1.1,Development,2026-05-01,2026-07-15
AcmeProduct 1.1,Code Freeze,2026-07-16,2026-07-22
AcmeProduct 1.1,QE,2026-07-23,2026-08-10
AcmeProduct 1.1,GA Release,2026-08-15,2026-08-15
AcmeProduct 2.0,Planning,2026-06-01,2026-07-15
AcmeProduct 2.0,Development,2026-07-16,2026-09-15
AcmeProduct 2.0,Code Freeze,2026-09-16,2026-09-22
AcmeProduct 2.0,QE,2026-09-23,2026-10-10
AcmeProduct 2.0,GA Release,2026-10-15,2026-10-15
