key,summary,status,priority,assignee,reporter,issuetype,created,updated,labels,components
ACME-1,Implement REST API versioning,In Progress,Major,Lena Kowalski,Dana Chen,Story,2026-01-05,2026-02-15,backend;api,acme-api
ACME-2,Fix authentication token refresh race condition,In Review,Critical,Carlos Mendoza,Nikolai Petrov,Bug,2026-01-06,2026-03-01,security;backend,acme-auth
ACME-3,Design new dashboard layout,Done,Major,Chloe Brennan,Dana Chen,Story,2026-01-07,2026-02-10,frontend;ui,acme-ui
ACME-4,Add OpenTelemetry tracing to API gateway,To Do,Major,Omar Farouk,Marcus Rivera,Story,2026-01-10,2026-01-10,backend;observability,acme-api
ACME-5,Data pipeline retry logic for transient failures,In Progress,Critical,Jordan Blake,Priya Nair,Bug,2026-01-12,2026-03-05,backend;reliability,acme-pipeline
ACME-6,Migrate storage layer to async I/O,In Progress,Major,Derek Nguyen,James Wu,Story,2026-01-15,2026-03-08,backend;performance,acme-storage
ACME-7,Model serving latency optimization,In Review,Critical,Ava Mitchell,Sarah Kim,Story,2026-01-18,2026-03-10,ml;performance,acme-ml-serve
ACME-8,Add RBAC to admin endpoints,To Do,Major,Sophie Laurent,Dana Chen,Story,2026-01-20,2026-01-20,security;backend,acme-auth
ACME-9,Frontend accessibility audit,To Do,Minor,Raj Patel,Dana Chen,Task,2026-01-22,2026-01-22,frontend;accessibility,acme-ui
ACME-10,Training pipeline GPU memory leak,In Progress,Critical,Ravi Krishnan,Leo Park,Bug,2026-01-25,2026-03-12,ml;bug,acme-ml-train
ACME-11,Platform infrastructure epic,In Progress,Major,Marcus Rivera,Dana Chen,Epic,2026-01-28,2026-03-01,backend;infrastructure,acme-api
ACME-12,Implement rate limiting middleware,Done,Major,Lena Kowalski,Marcus Rivera,Story,2026-01-30,2026-02-20,backend;security,acme-api
ACME-13,Fix CSS grid layout on mobile,Done,Minor,Chloe Brennan,Raj Patel,Bug,2026-02-01,2026-02-15,frontend;mobile,acme-ui
ACME-14,Add Kafka consumer group monitoring,In Progress,Major,Fatima Al-Rashid,Priya Nair,Story,2026-02-03,2026-03-05,backend;monitoring,acme-pipeline
ACME-15,Storage compaction job optimization,To Do,Minor,Derek Nguyen,James Wu,Task,2026-02-05,2026-02-05,backend;tech-debt,acme-storage
ACME-16,OAuth2 PKCE flow implementation,In Progress,Major,Carlos Mendoza,Marcus Rivera,Story,2026-02-07,2026-03-10,security;backend,acme-auth
ACME-17,Component library Storybook setup,Done,Minor,Raj Patel,Chloe Brennan,Task,2026-02-10,2026-02-28,frontend;tooling,acme-ui
ACME-18,Pipeline schema validation framework,In Review,Major,Ben Okafor,Priya Nair,Story,2026-02-12,2026-03-08,backend;data-quality,acme-pipeline
